,Upper Bound Baseline,Lower Bound Baseline,Mean Baseline,STD Baseline,Upper Bound Cisapride Baseline,Lower Bound Cisapride Baseline,Mean Cisapride Baseline,STD Cisapride Baseline,Upper Bound Cisapride,Lower Bound Cisapride,Mean Cisapride,STD Cisapride,Upper Bound Verapamil Baseline,Lower Bound Verapamil Baseline,Mean Verapamil Baseline,STD Verapamil Baseline,Upper Bound Verapamil,Lower Bound Verapamil,Mean Verapamil,STD Verapamil,Upper Bound Quinidine Baseline,Lower Bound Quinidine Baseline,Mean Quinidine Baseline,STD Quinidine Baseline,Upper Bound Quinidine,Lower Bound Quinidine,Mean Quinidine,STD Quinidine,Upper Bound Quinine Baseline,Lower Bound Quinine Baseline,Mean Quinine Baseline,STD Quinine Baseline,Upper Bound Quinine,Lower Bound Quinine,Mean Quinine,STD Quinine
dvdt_max,215.60241858958508,11.549484991964874,113.57595179077498,51.01323339940505,176.91897931486346,54.58411913513654,115.751549225,30.583715044931733,163.91650752821153,33.5725356816654,98.74452160493847,32.585992961636535,185.84695619010597,89.56256489878291,137.70476054444444,24.071097822830765,199.13784107029522,-14.885716823927623,92.1260621231838,53.50588947355571,241.19120925184205,-28.91956473484207,106.1358222585,67.52769349667103,172.17216969421779,-17.282924818577612,77.44462243782009,47.36377362819885,226.2378523019385,-9.409411741938499,108.41422028,58.91181601096925,166.2599596783346,-14.980886271152315,75.63953670359115,45.31021148737173
RMP,-68.63743727948588,-79.7745054490141,-74.20597136424999,2.7842670423820515,-71.10443754262407,-78.66608372404262,-74.88526063333335,1.8904115453546402,-65.72519403749165,-80.71123092942896,-73.2182124834603,3.746509222984331,-70.86861483340942,-79.61427669770168,-75.24144576555555,2.1864154660730684,-65.30793148244918,-80.31987836033069,-72.81390492138993,3.7529867194703797,-70.2096405655032,-76.66624424783014,-73.43794240666666,1.6141509205817346,-72.13233691434559,-75.52718345162523,-73.82976018298541,0.8487116343199144,-65.8143842052478,-77.97578729030776,-71.89508574777778,3.040350771264992,-64.58358466861128,-78.54491042188849,-71.56424754524988,3.4903314383193056
apa,122.09373232201239,94.2103036949876,108.1520180085,6.970857156756199,116.9978945248721,99.84959154179455,108.42374303333332,4.287075745769388,112.89431075203784,97.07949456213716,104.9869026570875,3.953704047475171,119.30184235975015,101.66518404024986,110.4835132,4.409164579875077,116.58446963247421,83.90291485588638,100.2436922441803,8.170388694146956,120.22452210289977,83.41882371710024,101.82167291,9.201424596449883,117.254668765237,81.00224227934231,99.12845552228966,9.063106621473672,111.88183302349557,102.61751564317109,107.24967433333333,2.3160793450811177,115.27084357913162,96.02614503183105,105.64849430548134,4.8111746368251405
apd10,64.96405814431381,8.600941856686184,36.7825000005,14.090779071906908,45.814572005321104,15.463205774678896,30.63888889,7.5878415576605525,35.637427828842995,16.79590551309186,26.216666670967427,4.710380578937784,57.10565911554592,15.546192737787425,36.32592592666667,10.389866594439622,50.86372462012653,-7.8489098085488,21.507407405788868,14.678158607168834,43.28787217667072,7.923238933329284,25.605555555,8.841158310835358,46.00991252703822,8.80119858069294,27.40555555386558,9.30217848658632,56.87859846988736,9.943623754557088,33.41111111222222,11.733743678832568,53.23004865904511,7.7921735687659215,30.511111113905518,11.359468772569798
apd20,102.77004271548739,14.633290620512618,58.70166666800001,22.034188023743695,66.24297881264619,26.4014656273538,46.32222221999999,9.960378296323096,65.1290948360027,18.259794050217412,41.69444444311005,11.71732519644632,82.35867065887902,29.75984785889875,56.059259258888886,13.149705699995069,72.907634125619,-3.566893391054464,34.67037036728227,19.118631879168365,80.30126017434687,8.709850935653137,44.505555555,17.897852309673432,77.69030733317064,16.154137103661228,46.92222221841593,15.384042557377352,87.6394666652216,19.0790518547784,53.35925926,17.1401037026108,84.7451127285303,18.403035426983358,51.574074077756826,16.585519325386734
apd30,132.65561688930774,18.35438310969228,75.5049999995,28.57530844490386,82.5701230844204,33.46321024224626,58.01666666333333,12.276728210543535,95.84602379607027,13.376198421864927,54.6111111089676,20.617456343551336,102.75432757490474,39.830857609539706,71.29259259222222,15.730867491341256,90.19000992199463,1.7062863879264683,45.94814815496055,22.12093088351704,108.5583889463617,7.68605549697164,58.122222221666675,25.218083362347517,95.19377496022224,18.661780573810553,56.9277777670164,19.132998596602924,113.96481384842221,25.17592689380001,69.57037037111111,22.19722173865555,116.01433644923556,23.311589486192062,69.66296296771381,23.175686740760874
apd60,186.2985551821668,28.896444818833174,107.59750000049999,39.35052759083341,123.88853296812778,35.3448003518722,79.61666665999999,22.135933154063896,314.31268604719907,-87.2349082913517,113.53888887792368,100.38689858463769,142.39331990420916,60.02890231801309,101.21111111111112,20.591104396549017,205.4465335293478,-23.13542240379101,91.15555556277839,57.1454889832847,161.7638082223873,10.080636200946074,85.92222221166668,37.9207930053603,161.1975082629628,41.44693618686681,101.3222222249148,29.937643019023994,165.33533045669435,36.5387436299723,100.93703704333333,32.199146706680516,280.0131320853877,12.172053097012679,146.0925925912002,66.96026974709376
apd90,235.47276738050226,45.88056596099773,140.67666667075,47.39805035487613,161.92526663429342,42.25251115237322,102.08888889333332,29.918188870480048,336.00467593752165,-66.34912034167934,134.82777779792116,100.58844906980025,196.32764509866175,81.74642899022714,139.03703704444445,28.64530402710865,250.41486930410986,0.7851306991417175,125.60000000162579,62.407434651242035,218.3773999280075,13.178155628659212,115.77777777833334,51.299811074837066,216.52428139313122,59.50905200880051,138.01666670096586,39.253807346082674,239.0240808782699,45.59814137284128,142.31111112555558,48.35648487635715,426.37396889733844,66.18158673559338,246.2777778164659,90.04809554043626
triangulation,4.825304370626959,-0.6657054959769595,2.079799437325,1.3727524666509798,3.338830024987142,0.5090130036795246,1.9239215143333332,0.7074542553269043,,,inf,,4.355564238052761,-0.8413097611638722,1.7571272384444443,1.2992184998041583,3.0834019101040537,-0.2739521190844776,1.4047248955097882,0.8393385072971329,2.147405832369989,0.7387455242966774,1.4430756783333332,0.3521650770183279,3.134994315151393,-1.4053797685218967,0.8648072733147479,1.1350935209183224,3.809004217433187,-0.3882461807665203,1.7103790183333334,1.0493125995499268,3.349599057460145,-1.264794494213247,1.042402281623449,1.153598387918348
